card_id,name,card_type,is_pokemon,is_item,is_supporter,is_stadium,is_tool,is_basic_energy,is_special_energy,hp,retreat_cost,energy_type_id,weakness_id,resistance_id,is_basic,is_stage1,is_stage2,evolves_from_id,is_ex,is_mega_ex,is_tera,is_ace_spec,prizes_on_ko,type_Colorless,type_Grass,type_Fire,type_Water,type_Lightning,type_Psychic,type_Fighting,type_Darkness,type_Metal,type_Dragon,n_attacks,max_damage,min_attack_cost,has_variable_attack
1,Basic {G} Energy,5,false,false,false,false,false,true,false,0,0,1,-1,-1,false,false,false,-1,false,false,false,false,0,false,true,false,false,false,false,false,false,false,false,0,0,0,false
2,Basic {R} Energy,5,false,false,false,false,false,true,false,0,0,2,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,true,false,false,false,false,false,false,false,0,0,0,false
3,Basic {W} Energy,5,false,false,false,false,false,true,false,0,0,3,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,true,false,false,false,false,false,false,0,0,0,false
4,Basic {L} Energy,5,false,false,false,false,false,true,false,0,0,4,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,true,false,false,false,false,false,0,0,0,false
5,Basic {P} Energy,5,false,false,false,false,false,true,false,0,0,5,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,true,false,false,false,false,0,0,0,false
6,Basic {F} Energy,5,false,false,false,false,false,true,false,0,0,6,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,true,false,false,false,0,0,0,false
7,Basic {D} Energy,5,false,false,false,false,false,true,false,0,0,7,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,true,false,false,0,0,0,false
8,Basic {M} Energy,5,false,false,false,false,false,true,false,0,0,8,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,true,false,0,0,0,false
9,Boomerang Energy,6,false,false,false,false,false,false,true,0,0,0,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
10,Neo Upper Energy,6,false,false,false,false,false,false,true,0,0,0,-1,-1,false,false,false,-1,false,false,false,true,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
11,Mist Energy,6,false,false,false,false,false,false,true,0,0,0,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
12,Legacy Energy,6,false,false,false,false,false,false,true,0,0,10,-1,-1,false,false,false,-1,false,false,false,true,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
13,Enriching Energy,6,false,false,false,false,false,false,true,0,0,0,-1,-1,false,false,false,-1,false,false,false,true,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
14,Spiky Energy,6,false,false,false,false,false,false,true,0,0,0,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
15,Team Rocket's Energy,6,false,false,false,false,false,false,true,0,0,0,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
16,Prism Energy,6,false,false,false,false,false,false,true,0,0,0,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
17,Ignition Energy,6,false,false,false,false,false,false,true,0,0,0,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
18,Grow Grass Energy,6,false,false,false,false,false,false,true,0,0,1,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
19,Telepath Psychic Energy,6,false,false,false,false,false,false,true,0,0,5,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
20,Rock Fighting Energy,6,false,false,false,false,false,false,true,0,0,6,-1,-1,false,false,false,-1,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,0,0,0,false
21,Scrafty,0,true,false,false,false,false,false,false,120,1,7,1,-1,false,true,false,895,false,false,false,false,1,false,false,false,false,false,false,false,true,false,false,2,100,1,false
22,Hippopotas,0,true,false,false,false,false,false,false,90,3,6,1,-1,true,false,false,-1,false,false,false,false,1,false,false,false,false,false,false,true,false,false,false,1,10,1,false
23,Hippowdon,0,true,false,false,false,false,false,false,160,4,6,1,-1,false,true,false,1048,false,false,false,false,1,false,false,false,false,false,false,true,false,false,false,2,150,2,false
24,Team Rocket's Kangaskhan ex,0,true,false,false,false,false,false,false,230,2,0,6,-1,true,false,false,-1,true,false,false,false,2,true,false,false,false,false,false,false,false,false,false,2,120,2,true
25,Pinsir,0,true,false,false,false,false,false,false,110,2,1,2,-1,true,false,false,-1,false,false,false,false,1,false,true,false,false,false,false,false,false,false,false,2,100,2,false
26,Leafeon,0,true,false,false,false,false,false,false,120,1,1,2,-1,false,true,false,317,false,false,false,false,1,false,true,false,false,false,false,false,false,false,false,2,70,1,false
27,Iron Leaves,0,true,false,false,false,false,false,false,120,1,1,2,-1,true,false,false,-1,false,false,false,false,1,false,true,false,false,false,false,false,false,false,false,2,100,1,false
28,Poltchageist,0,true,false,false,false,false,false,false,30,1,1,2,-1,true,false,false,-1,false,false,false,false,1,false,true,false,false,false,false,false,false,false,false,1,10,1,false
29,Sinistcha ex,0,true,false,false,false,false,false,false,240,1,1,2,-1,false,true,false,28,true,false,false,false,2,false,true,false,false,false,false,false,false,false,false,2,120,1,true
30,Magcargo ex,0,true,false,false,false,false,false,false,270,3,2,3,-1,false,true,false,76,true,false,true,false,2,false,false,true,false,false,false,false,false,false,false,2,140,2,true
31,Chi-Yu,0,true,false,false,false,false,false,false,110,1,2,3,-1,true,false,false,-1,false,false,false,false,1,false,false,true,false,false,false,false,false,false,false,2,60,1,false
32,Glaceon,0,true,false,false,false,false,false,false,120,1,3,8,-1,false,true,false,317,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,2,70,1,false
33,Froakie,0,true,false,false,false,false,false,false,60,1,3,4,-1,true,false,false,-1,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,2,10,1,false
34,Frogadier,0,true,false,false,false,false,false,false,90,1,3,4,-1,false,true,false,945,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,1,20,1,false
35,Walking Wake,0,true,false,false,false,false,false,false,130,1,3,4,-1,true,false,false,-1,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,2,20,1,true
36,Morpeko,0,true,false,false,false,false,false,false,70,1,4,6,-1,true,false,false,-1,false,false,false,false,1,false,false,false,false,true,false,false,false,false,false,1,0,1,false
37,Iron Thorns ex,0,true,false,false,false,false,false,false,230,4,4,6,-1,true,false,false,-1,true,false,false,false,2,false,false,false,false,true,false,false,false,false,false,1,140,3,false
38,Girafarig,0,true,false,false,false,false,false,false,100,1,5,7,6,true,false,false,-1,false,false,false,false,1,false,false,false,false,false,true,false,false,false,false,1,30,1,false
39,Enamorus,0,true,false,false,false,false,false,false,120,1,5,8,-1,true,false,false,-1,false,false,false,false,1,false,false,false,false,false,true,false,false,false,false,2,80,1,false
40,Greninja ex,0,true,false,false,false,false,false,false,310,1,6,5,-1,false,false,true,34,true,false,true,false,2,false,false,false,false,false,false,true,false,false,false,2,170,1,false
41,Ting-Lu,0,true,false,false,false,false,false,false,140,3,6,1,-1,true,false,false,-1,false,false,false,false,1,false,false,false,false,false,false,true,false,false,false,2,110,1,false
42,Applin,0,true,false,false,false,false,false,false,40,1,9,-1,-1,true,false,false,-1,false,false,false,false,1,false,false,false,false,false,false,false,false,false,true,2,30,1,false
43,Eevee,0,true,false,false,false,false,false,false,50,1,0,6,-1,true,false,false,-1,false,false,false,false,1,true,false,false,false,false,false,false,false,false,false,2,20,1,false
44,Bloodmoon Ursaluna ex,0,true,false,false,false,false,false,false,260,3,0,6,-1,true,false,false,-1,true,false,false,false,2,true,false,false,false,false,false,false,false,false,false,1,240,5,false
45,Shaymin,0,true,false,false,false,false,false,false,70,0,1,2,-1,true,false,false,-1,false,false,false,false,1,false,true,false,false,false,false,false,false,false,false,2,50,1,false
46,Gouging Fire ex,0,true,false,false,false,false,false,false,230,2,2,3,-1,true,false,false,-1,true,false,false,false,2,false,false,true,false,false,false,false,false,false,false,2,260,2,false
47,Totodile,0,true,false,false,false,false,false,false,70,1,3,4,-1,true,false,false,-1,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,1,10,1,false
48,Croconaw,0,true,false,false,false,false,false,false,90,2,3,4,-1,false,true,false,937,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,1,30,1,false
49,Feraligatr,0,true,false,false,false,false,false,false,180,3,3,4,-1,false,false,true,938,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,1,160,2,false
50,Wiglett,0,true,false,false,false,false,false,false,60,1,3,4,-1,true,false,false,-1,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,2,40,1,false
51,Palafin,0,true,false,false,false,false,false,false,150,2,3,4,-1,false,true,false,105,false,false,false,false,1,false,false,false,true,false,false,false,false,false,false,2,130,1,true
52,Wugtrio ex,0,true,false,false,false,false,false,false,250,1,4,6,-1,false,true,false,50,true,false,true,false,2,false,false,false,false,true,false,false,false,false,false,2,120,1,true
53,Marill,0,true,false,false,false,false,false,false,70,2,5,8,-1,true,false,false,-1,false,false,false,false,1,false,false,false,false,false,true,false,false,false,false,2,40,1,true
54,Bronzor,0,true,false,false,false,false,false,false,80,3,5,7,6,true,false,false,-1,false,false,false,false,1,false,false,false,false,false,true,false,false,false,false,1,10,1,false
